[2014-07-29 00:00:01] {'num':3,'time':'1406563201'}
[2014-07-29 00:01:01] {'num':3,'time':'1406563261'}
[2014-07-29 00:02:01] {'num':3,'time':'1406563321'}
[2014-07-29 00:03:01] {'num':3,'time':'1406563381'}
[2014-07-29 00:04:01] {'num':3,'time':'1406563441'}
[2014-07-29 00:05:01] {'num':3,'time':'1406563501'}
[2014-07-29 00:06:01] {'num':3,'time':'1406563561'}
[2014-07-29 00:07:01] {'num':3,'time':'1406563621'}
[2014-07-29 00:08:01] {'num':3,'time':'1406563681'}
[2014-07-29 00:09:01] {'num':3,'time':'1406563741'}
[2014-07-29 00:10:01] {'num':3,'time':'1406563801'}
[2014-07-29 00:11:01] {'num':3,'time':'1406563861'}
[2014-07-29 00:12:01] {'num':3,'time':'1406563921'}
[2014-07-29 00:13:01] {'num':3,'time':'1406563981'}
[2014-07-29 00:14:02] {'num':3,'time':'1406564042'}
[2014-07-29 00:15:02] {'num':3,'time':'1406564102'}
[2014-07-29 00:16:02] {'num':3,'time':'1406564162'}
[2014-07-29 00:17:02] {'num':3,'time':'1406564222'}
[2014-07-29 00:18:02] {'num':3,'time':'1406564282'}
[2014-07-29 00:19:02] {'num':3,'time':'1406564342'}
[2014-07-29 00:20:02] {'num':3,'time':'1406564402'}
[2014-07-29 00:21:02] {'num':3,'time':'1406564462'}
[2014-07-29 00:22:02] {'num':3,'time':'1406564522'}
[2014-07-29 00:23:02] {'num':3,'time':'1406564582'}
[2014-07-29 00:24:02] {'num':3,'time':'1406564642'}
[2014-07-29 00:25:02] {'num':3,'time':'1406564702'}
[2014-07-29 00:26:02] {'num':3,'time':'1406564762'}
[2014-07-29 00:27:02] {'num':3,'time':'1406564822'}
[2014-07-29 00:28:02] {'num':3,'time':'1406564882'}
[2014-07-29 00:29:02] {'num':3,'time':'1406564942'}
[2014-07-29 00:30:02] {'num':3,'time':'1406565002'}
[2014-07-29 00:31:02] {'num':3,'time':'1406565062'}
[2014-07-29 00:32:02] {'num':3,'time':'1406565122'}
[2014-07-29 00:33:02] {'num':3,'time':'1406565182'}
[2014-07-29 00:34:02] {'num':3,'time':'1406565242'}
[2014-07-29 00:35:02] {'num':3,'time':'1406565302'}
[2014-07-29 00:36:02] {'num':3,'time':'1406565362'}
[2014-07-29 00:37:02] {'num':3,'time':'1406565422'}
[2014-07-29 00:38:02] {'num':3,'time':'1406565482'}
[2014-07-29 00:39:02] {'num':3,'time':'1406565542'}
[2014-07-29 00:40:02] {'num':3,'time':'1406565602'}
[2014-07-29 00:41:02] {'num':3,'time':'1406565662'}
[2014-07-29 00:42:02] {'num':3,'time':'1406565722'}
[2014-07-29 00:43:02] {'num':3,'time':'1406565782'}
[2014-07-29 00:44:02] {'num':3,'time':'1406565842'}
[2014-07-29 00:45:02] {'num':3,'time':'1406565902'}
[2014-07-29 00:46:02] {'num':3,'time':'1406565962'}
[2014-07-29 00:47:02] {'num':3,'time':'1406566022'}
[2014-07-29 00:48:02] {'num':3,'time':'1406566082'}
[2014-07-29 00:49:02] {'num':3,'time':'1406566142'}
[2014-07-29 00:50:02] {'num':3,'time':'1406566202'}
[2014-07-29 00:51:02] {'num':3,'time':'1406566262'}
[2014-07-29 00:52:02] {'num':3,'time':'1406566322'}
[2014-07-29 00:53:02] {'num':3,'time':'1406566382'}
[2014-07-29 00:54:02] {'num':3,'time':'1406566442'}
[2014-07-29 00:55:02] {'num':3,'time':'1406566502'}
[2014-07-29 00:56:02] {'num':3,'time':'1406566562'}
[2014-07-29 00:57:02] {'num':3,'time':'1406566622'}
[2014-07-29 00:58:02] {'num':3,'time':'1406566682'}
[2014-07-29 00:59:02] {'num':3,'time':'1406566742'}
[2014-07-29 01:00:02] {'num':3,'time':'1406566802'}
[2014-07-29 01:01:02] {'num':3,'time':'1406566862'}
[2014-07-29 01:02:02] {'num':3,'time':'1406566922'}
[2014-07-29 01:03:02] {'num':3,'time':'1406566982'}
[2014-07-29 01:04:02] {'num':3,'time':'1406567042'}
[2014-07-29 01:05:02] {'num':3,'time':'1406567102'}
[2014-07-29 01:06:02] {'num':3,'time':'1406567162'}
[2014-07-29 01:07:02] {'num':3,'time':'1406567222'}
[2014-07-29 01:08:02] {'num':3,'time':'1406567282'}
[2014-07-29 01:09:02] {'num':3,'time':'1406567342'}
[2014-07-29 01:10:02] {'num':3,'time':'1406567402'}
[2014-07-29 01:11:02] {'num':3,'time':'1406567462'}
[2014-07-29 01:12:02] {'num':3,'time':'1406567522'}
[2014-07-29 01:13:02] {'num':3,'time':'1406567582'}
[2014-07-29 01:14:02] {'num':3,'time':'1406567642'}
[2014-07-29 01:15:02] {'num':3,'time':'1406567702'}
[2014-07-29 01:16:02] {'num':3,'time':'1406567762'}
[2014-07-29 01:17:02] {'num':3,'time':'1406567822'}
[2014-07-29 01:18:02] {'num':3,'time':'1406567882'}
[2014-07-29 01:19:02] {'num':3,'time':'1406567942'}
[2014-07-29 01:20:02] {'num':3,'time':'1406568002'}
[2014-07-29 01:21:02] {'num':3,'time':'1406568062'}
[2014-07-29 01:22:02] {'num':3,'time':'1406568122'}
[2014-07-29 01:23:02] {'num':3,'time':'1406568182'}
[2014-07-29 01:24:02] {'num':3,'time':'1406568242'}
[2014-07-29 01:25:02] {'num':3,'time':'1406568302'}
[2014-07-29 01:26:02] {'num':3,'time':'1406568362'}
[2014-07-29 01:27:02] {'num':3,'time':'1406568422'}
[2014-07-29 01:28:02] {'num':3,'time':'1406568482'}
[2014-07-29 01:29:02] {'num':3,'time':'1406568542'}
[2014-07-29 01:30:02] {'num':3,'time':'1406568602'}
[2014-07-29 01:31:02] {'num':3,'time':'1406568662'}
[2014-07-29 01:32:02] {'num':3,'time':'1406568722'}
[2014-07-29 01:33:02] {'num':3,'time':'1406568782'}
[2014-07-29 01:34:02] {'num':3,'time':'1406568842'}
[2014-07-29 01:35:02] {'num':3,'time':'1406568902'}
[2014-07-29 01:36:02] {'num':3,'time':'1406568962'}
[2014-07-29 01:37:02] {'num':3,'time':'1406569022'}
[2014-07-29 01:38:02] {'num':3,'time':'1406569082'}
[2014-07-29 01:39:02] {'num':3,'time':'1406569142'}
[2014-07-29 01:40:02] {'num':3,'time':'1406569202'}
[2014-07-29 01:41:02] {'num':3,'time':'1406569262'}
[2014-07-29 01:42:02] {'num':3,'time':'1406569322'}
[2014-07-29 01:43:02] {'num':3,'time':'1406569382'}
[2014-07-29 01:44:02] {'num':3,'time':'1406569442'}
[2014-07-29 01:45:02] {'num':3,'time':'1406569502'}
[2014-07-29 01:46:02] {'num':3,'time':'1406569562'}
[2014-07-29 01:47:02] {'num':3,'time':'1406569622'}
[2014-07-29 01:48:02] {'num':3,'time':'1406569682'}
[2014-07-29 01:49:02] {'num':3,'time':'1406569742'}
[2014-07-29 01:50:02] {'num':3,'time':'1406569802'}
[2014-07-29 01:51:02] {'num':3,'time':'1406569862'}
[2014-07-29 01:52:02] {'num':3,'time':'1406569922'}
[2014-07-29 01:53:02] {'num':3,'time':'1406569982'}
[2014-07-29 01:54:02] {'num':3,'time':'1406570042'}
[2014-07-29 01:55:02] {'num':3,'time':'1406570102'}
[2014-07-29 01:56:02] {'num':3,'time':'1406570162'}
[2014-07-29 01:57:02] {'num':3,'time':'1406570222'}
[2014-07-29 01:58:02] {'num':3,'time':'1406570282'}
[2014-07-29 01:59:02] {'num':3,'time':'1406570342'}
[2014-07-29 02:00:02] {'num':3,'time':'1406570402'}
[2014-07-29 02:01:02] {'num':3,'time':'1406570462'}
[2014-07-29 02:02:02] {'num':3,'time':'1406570522'}
[2014-07-29 02:03:02] {'num':3,'time':'1406570582'}
[2014-07-29 02:04:02] {'num':3,'time':'1406570642'}
[2014-07-29 02:05:02] {'num':3,'time':'1406570702'}
[2014-07-29 02:06:02] {'num':3,'time':'1406570762'}
[2014-07-29 02:07:02] {'num':3,'time':'1406570822'}
[2014-07-29 02:08:02] {'num':3,'time':'1406570882'}
[2014-07-29 02:09:02] {'num':3,'time':'1406570942'}
[2014-07-29 02:10:02] {'num':3,'time':'1406571002'}
[2014-07-29 02:11:02] {'num':3,'time':'1406571062'}
[2014-07-29 02:12:02] {'num':3,'time':'1406571122'}
[2014-07-29 02:13:02] {'num':3,'time':'1406571182'}
[2014-07-29 02:14:02] {'num':3,'time':'1406571242'}
[2014-07-29 02:15:02] {'num':3,'time':'1406571302'}
[2014-07-29 02:16:02] {'num':3,'time':'1406571362'}
[2014-07-29 02:17:02] {'num':3,'time':'1406571422'}
[2014-07-29 02:18:02] {'num':3,'time':'1406571482'}
[2014-07-29 02:19:02] {'num':3,'time':'1406571542'}
[2014-07-29 02:20:02] {'num':3,'time':'1406571602'}
[2014-07-29 02:21:02] {'num':3,'time':'1406571662'}
[2014-07-29 02:22:02] {'num':3,'time':'1406571722'}
[2014-07-29 02:23:02] {'num':3,'time':'1406571782'}
[2014-07-29 02:24:02] {'num':3,'time':'1406571842'}
[2014-07-29 02:25:02] {'num':3,'time':'1406571902'}
[2014-07-29 02:26:02] {'num':3,'time':'1406571962'}
[2014-07-29 02:27:02] {'num':3,'time':'1406572022'}
[2014-07-29 02:28:02] {'num':3,'time':'1406572082'}
[2014-07-29 02:29:02] {'num':3,'time':'1406572142'}
[2014-07-29 02:30:02] {'num':3,'time':'1406572202'}
[2014-07-29 02:31:02] {'num':3,'time':'1406572262'}
[2014-07-29 02:32:02] {'num':3,'time':'1406572322'}
[2014-07-29 02:33:02] {'num':3,'time':'1406572382'}
[2014-07-29 02:34:02] {'num':3,'time':'1406572442'}
[2014-07-29 02:35:02] {'num':3,'time':'1406572502'}
[2014-07-29 02:36:02] {'num':3,'time':'1406572562'}
[2014-07-29 02:37:02] {'num':3,'time':'1406572622'}
[2014-07-29 02:38:02] {'num':3,'time':'1406572682'}
[2014-07-29 02:39:02] {'num':3,'time':'1406572742'}
[2014-07-29 02:40:02] {'num':3,'time':'1406572802'}
[2014-07-29 02:41:02] {'num':3,'time':'1406572862'}
[2014-07-29 02:42:02] {'num':3,'time':'1406572922'}
[2014-07-29 02:43:02] {'num':3,'time':'1406572982'}
[2014-07-29 02:44:02] {'num':3,'time':'1406573042'}
[2014-07-29 02:45:02] {'num':3,'time':'1406573102'}
[2014-07-29 02:46:02] {'num':3,'time':'1406573162'}
[2014-07-29 02:47:02] {'num':3,'time':'1406573222'}
[2014-07-29 02:48:02] {'num':3,'time':'1406573282'}
[2014-07-29 02:49:02] {'num':3,'time':'1406573342'}
[2014-07-29 02:50:02] {'num':3,'time':'1406573402'}
[2014-07-29 02:51:02] {'num':3,'time':'1406573462'}
[2014-07-29 02:52:02] {'num':3,'time':'1406573522'}
[2014-07-29 02:53:02] {'num':3,'time':'1406573582'}
[2014-07-29 02:54:02] {'num':3,'time':'1406573642'}
[2014-07-29 02:55:02] {'num':3,'time':'1406573702'}
[2014-07-29 02:56:02] {'num':3,'time':'1406573762'}
[2014-07-29 02:57:02] {'num':3,'time':'1406573822'}
[2014-07-29 02:58:02] {'num':3,'time':'1406573882'}
[2014-07-29 02:59:02] {'num':3,'time':'1406573942'}
[2014-07-29 03:00:02] {'num':3,'time':'1406574002'}
[2014-07-29 03:01:02] {'num':3,'time':'1406574062'}
[2014-07-29 03:02:02] {'num':3,'time':'1406574122'}
[2014-07-29 03:03:02] {'num':3,'time':'1406574182'}
[2014-07-29 03:04:02] {'num':3,'time':'1406574242'}
[2014-07-29 03:05:02] {'num':3,'time':'1406574302'}
[2014-07-29 03:06:02] {'num':3,'time':'1406574362'}
[2014-07-29 03:07:02] {'num':3,'time':'1406574422'}
[2014-07-29 03:08:02] {'num':3,'time':'1406574482'}
[2014-07-29 03:09:02] {'num':3,'time':'1406574542'}
[2014-07-29 03:10:02] {'num':3,'time':'1406574602'}
[2014-07-29 03:11:02] {'num':3,'time':'1406574662'}
[2014-07-29 03:12:02] {'num':3,'time':'1406574722'}
[2014-07-29 03:13:02] {'num':3,'time':'1406574782'}
[2014-07-29 03:14:02] {'num':3,'time':'1406574842'}
[2014-07-29 03:15:02] {'num':3,'time':'1406574902'}
[2014-07-29 03:16:02] {'num':3,'time':'1406574962'}
[2014-07-29 03:17:02] {'num':3,'time':'1406575022'}
[2014-07-29 03:18:02] {'num':3,'time':'1406575082'}
[2014-07-29 03:19:02] {'num':3,'time':'1406575142'}
[2014-07-29 03:20:02] {'num':3,'time':'1406575202'}
